sisben_area,sisben_score,spadies_any,cutoff
Main metro area,-60.34000015258789,1,-57.21
Other urban area,-67.5,1,-56.32
Main metro area,-70.23999786376953,0,-57.21
Other urban area,-31.52000045776367,0,-56.32
Main metro area,-72.91000366210938,0,-57.21
Main metro area,-59.43999862670898,1,-57.21
Main metro area,-57.72000122070313,0,-57.21
Main metro area,-49.38000106811523,1,-57.21
Other urban area,-57.47999954223633,0,-56.32
Main metro area,-61.45000076293945,1,-57.21
Other urban area,-63.08000183105469,0,-56.32
Main metro area,-62.91999816894531,0,-57.21
Main metro area,-66.56999969482422,0,-57.21
Main metro area,-63.56000137329102,0,-57.21
Other urban area,-65.05999755859375,1,-56.32
Rural area,-22.59,0,-40.75
Main metro area,-61.0099983215332,1,-57.21
Main metro area,-15.01000022888184,0,-57.21
Main metro area,-71.13999938964844,1,-57.21
Main metro area,-58.52000045776367,1,-57.21
Main metro area,-52.91999816894531,0,-57.21
Other urban area,-54.93000030517578,0,-56.32
Main metro area,-68.83999633789063,1,-57.21
Main metro area,-75.54000091552734,1,-57.21
Main metro area,-69.23000335693359,1,-57.21
Main metro area,-21.90999984741211,1,-57.21
Other urban area,-9.640000343322754,1,-56.32
Main metro area,-66.19999694824219,0,-57.21
Main metro area,-65.11000061035156,1,-57.21
Main metro area,-72.31999969482422,0,-57.21
Other urban area,-49.95000076293945,1,-56.32
Main metro area,-60.77999877929688,1,-57.21
Main metro area,-31.19000053405762,1,-57.21
Other urban area,-51.86000061035156,0,-56.32
Other urban area,-57.63999938964844,1,-56.32
Other urban area,-61.70000076293945,0,-56.32
Other urban area,-64.97000122070313,1,-56.32
Main metro area,-62.86000061035156,1,-57.21
Rural area,-52.88000106811523,0,-40.75
Other urban area,-73.87999725341797,1,-56.32
Other urban area,-55.63000106811523,0,-56.32
Other urban area,-62.79999923706055,1,-56.32
Main metro area,-28.54000091552734,0,-57.21
Other urban area,-81.70999908447266,1,-56.32
Main metro area,-42.04000091552734,1,-57.21
Other urban area,-20.28000068664551,0,-56.32
Rural area,-19.20000076293945,0,-40.75
Main metro area,-25.05999946594238,0,-57.21
Rural area,-17.5,1,-40.75
Main metro area,-64.05999755859375,0,-57.21
Main metro area,-26.32999992370605,0,-57.21
Other urban area,-38.59999847412109,1,-56.32
Main metro area,-62.75,1,-57.21
Other urban area,-74.36000061035156,1,-56.32
Main metro area,-71.16999816894531,0,-57.21
Main metro area,-69.19999694824219,0,-57.21
Other urban area,-48.43000030517578,0,-56.32
Other urban area,-70.62999725341797,1,-56.32
Main metro area,-67.30000305175781,1,-57.21
Rural area,-12.1899995803833,1,-40.75
Main metro area,-52.04999923706055,1,-57.21
Main metro area,-66.44999694824219,1,-57.21
Other urban area,-73.09999847412109,1,-56.32
Main metro area,-55.20999908447266,0,-57.21
Other urban area,-68.11000061035156,0,-56.32
Main metro area,-39.77999877929688,0,-57.21
Other urban area,-45.90999984741211,0,-56.32
Main metro area,-33.66999816894531,0,-57.21
Main metro area,-30.06999969482422,0,-57.21
Other urban area,-31.65999984741211,0,-56.32
Main metro area,-61.02000045776367,1,-57.21
Main metro area,-46.20000076293945,1,-57.21
Main metro area,-45.79000091552734,1,-57.21
Rural area,-31.40999984741211,1,-40.75
Other urban area,-13.63000011444092,0,-56.32
Main metro area,-55.38000106811523,0,-57.21
Other urban area,-31.82999992370605,1,-56.32
Other urban area,-45.56999969482422,0,-56.32
Rural area,-46.79000091552734,0,-40.75
Main metro area,-17.34000015258789,1,-57.21
Other urban area,-35.38999938964844,1,-56.32
Other urban area,-25.3799991607666,0,-56.32
Rural area,-11.75,0,-40.75
Rural area,-17.61000061035156,1,-40.75
Main metro area,-15.56999969482422,1,-57.21
Other urban area,-35.2599983215332,0,-56.32
Main metro area,-19.29999923706055,1,-57.21
Other urban area,-69.29000091552734,1,-56.32
Main metro area,-48,1,-57.21
Main metro area,-16.60000038146973,0,-57.21
Main metro area,-32,1,-57.21
Other urban area,-59.7599983215332,0,-56.32
Other urban area,-42.38000106811523,1,-56.32
Other urban area,-24.43000030517578,1,-56.32
Other urban area,-70.23999786376953,1,-56.32
Other urban area,-34.2599983215332,0,-56.32
Other urban area,-66.55000305175781,1,-56.32
Rural area,-11.5600004196167,0,-40.75
Main metro area,-48.65999984741211,0,-57.21
Other urban area,-26.70999908447266,1,-56.32
Other urban area,-72.33000183105469,1,-56.32
Other urban area,-61.75,1,-56.32
Main metro area,-52.43000030517578,1,-57.21
Other urban area,-47.70000076293945,0,-56.32
Other urban area,-22.60000038146973,1,-56.32
Main metro area,-65.87000274658203,1,-57.21
Rural area,-28.81999969482422,1,-40.75
Other urban area,-62.56999969482422,1,-56.32
Main metro area,-72.47000122070313,1,-57.21
Main metro area,-42.27000045776367,0,-57.21
Other urban area,-26.32999992370605,1,-56.32
Other urban area,-70.01000213623047,0,-56.32
Other urban area,-73.94999694824219,1,-56.32
Main metro area,-64.37999725341797,0,-57.21
Other urban area,-72.27999877929688,0,-56.32
Other urban area,-71.91999816894531,0,-56.32
Other urban area,-36.22999954223633,1,-56.32
Main metro area,-42.56000137329102,1,-57.21
Other urban area,-49.2400016784668,1,-56.32
Other urban area,-21.63999938964844,1,-56.32
Main metro area,-72,1,-57.21
Main metro area,-69.04000091552734,1,-57.21
Other urban area,-77.47000122070313,1,-56.32
Main metro area,-70.37999725341797,0,-57.21
Main metro area,-63.27000045776367,0,-57.21
Main metro area,-35.79000091552734,1,-57.21
Main metro area,-69.41999816894531,1,-57.21
Other urban area,-59.70999908447266,0,-56.32
Other urban area,-57.72000122070313,0,-56.32
Main metro area,-60.02999877929688,0,-57.21
Main metro area,-76.16000366210938,0,-57.21
Rural area,-47.95999908447266,1,-40.75
Main metro area,-70.62000274658203,1,-57.21
Main metro area,-59.41999816894531,1,-57.21
Main metro area,-54.56000137329102,0,-57.21
Main metro area,-59.7400016784668,1,-57.21
Main metro area,-53.02000045776367,1,-57.21
Main metro area,-55.02000045776367,1,-57.21
Main metro area,-67.02999877929688,1,-57.21
Other urban area,-68.80999755859375,0,-56.32
Other urban area,-66.61000061035156,1,-56.32
Main metro area,-47.15000152587891,1,-57.21
Main metro area,-39.84000015258789,1,-57.21
Main metro area,-77.69000244140625,1,-57.21
Main metro area,-22.64999961853027,1,-57.21
Main metro area,-62.86000061035156,1,-57.21
Other urban area,-68.44999694824219,1,-56.32
Other urban area,-76.01000213623047,0,-56.32
Main metro area,-60.02999877929688,0,-57.21
Main metro area,-68.44000244140625,1,-57.21
Main metro area,-65.48000335693359,1,-57.21
Main metro area,-69.66000366210938,0,-57.21
Main metro area,-39.52999877929688,0,-57.21
Rural area,-49.02000045776367,1,-40.75
Main metro area,-62,0,-57.21
Other urban area,-60.90999984741211,1,-56.32
Rural area,-48.86999893188477,0,-40.75
Rural area,-54.54999923706055,1,-40.75
Main metro area,-63.27000045776367,0,-57.21
Main metro area,-62.77999877929688,0,-57.21
Main metro area,-69.19000244140625,1,-57.21
Main metro area,-57.93999862670898,1,-57.21
Other urban area,-53.45999908447266,1,-56.32
Other urban area,-36.59999847412109,1,-56.32
Main metro area,-62.61000061035156,1,-57.21
Other urban area,-79.04000091552734,1,-56.32
Other urban area,-58.2599983215332,1,-56.32
Other urban area,-50.16999816894531,1,-56.32
Other urban area,-77.55999755859375,0,-56.32
Other urban area,-66.98999786376953,0,-56.32
Other urban area,-58.59000015258789,1,-56.32
Other urban area,-76.72000122070313,1,-56.32
Rural area,-25.61000061035156,1,-40.75
Other urban area,-69.30000305175781,1,-56.32
Other urban area,-55.9900016784668,1,-56.32
Main metro area,-78.44999694824219,0,-57.21
Main metro area,-33.5099983215332,0,-57.21
Main metro area,-60.43999862670898,0,-57.21
Main metro area,-41.33000183105469,0,-57.21
Other urban area,-81.63999938964844,1,-56.32
Other urban area,-63.18999862670898,1,-56.32
Other urban area,-52.83000183105469,1,-56.32
Other urban area,-47.40000152587891,0,-56.32
Other urban area,-66.62000274658203,0,-56.32
Other urban area,-38.65000152587891,1,-56.32
Other urban area,-27.25,1,-56.32
Other urban area,-67.43000030517578,1,-56.32
Other urban area,-59.84999847412109,0,-56.32
Other urban area,-16.72999954223633,0,-56.32
Main metro area,-58.97000122070313,0,-57.21
Other urban area,-71.38999938964844,1,-56.32
Other urban area,-75.52999877929688,1,-56.32
Other urban area,-57.15000152587891,1,-56.32
Rural area,-15.84000015258789,0,-40.75
Main metro area,-47.40000152587891,1,-57.21
Main metro area,-62.27999877929688,1,-57.21
Main metro area,-60.38000106811523,0,-57.21
Other urban area,-68.30000305175781,1,-56.32
Main metro area,-62.72000122070313,1,-57.21
Main metro area,-58.77000045776367,0,-57.21
Rural area,-42.16999816894531,0,-40.75
Main metro area,-47.81999969482422,0,-57.21
Main metro area,-62.77000045776367,1,-57.21
Main metro area,-51.09000015258789,0,-57.21
Other urban area,-29.79,1,-56.32
Other urban area,-68.62999725341797,1,-56.32
Main metro area,-57.93000030517578,1,-57.21
Main metro area,-32.7,0,-57.21
Other urban area,-44.88,1,-56.32
Rural area,-15.10999965667725,1,-40.75
